tier,namespace,type,api,kind,jalium_sig,wpf_sig,suggestion
1,System.Windows,Application,Application,kind-mismatch,"public partial class Application  (no base type, no interface)","public partial class Application : System.Windows.Threading.DispatcherObject, System.Windows.Markup.IQueryAmbient",Derive from DispatcherObject and implement IQueryAmbient.IsAmbientPropertyAvailable(string).
1,System.Windows,Application,Exit,return-type,public event System.EventHandler<ExitEventArgs>? Exit,public event System.Windows.ExitEventHandler Exit,Introduce the WPF ExitEventHandler delegate and type the event with it.
1,System.Windows,Application,SessionEnding,return-type,public event System.EventHandler<SessionEndingCancelEventArgs>? SessionEnding,public event System.Windows.SessionEndingCancelEventHandler SessionEnding,Introduce SessionEndingCancelEventHandler delegate.
1,System.Windows,Application,Startup,return-type,public event System.EventHandler<StartupEventArgs>? Startup,public event System.Windows.StartupEventHandler Startup,Introduce StartupEventHandler delegate.
1,System.Windows,Clipboard,Clear,return-type,public static bool Clear(),public static void Clear(),WPF's Clear returns void; change the Jalium return type from bool to void to match the API surface.
1,System.Windows,Clipboard,GetDataObject,return-type,public static ClipboardDataObject GetDataObject(),public static System.Windows.IDataObject? GetDataObject(),Return the nullable IDataObject? interface (Jalium.UI.Controls.IDataObject) rather than the concrete ClipboardDataObject to match WPF's signature and null-return semantics.
1,System.Windows,Clipboard,GetFileDropList,return-type,public static string[]? GetFileDropList(),public static System.Collections.Specialized.StringCollection GetFileDropList(),Return a non-null System.Collections.Specialized.StringCollection (empty when no files) instead of a nullable string[].
1,System.Windows,Clipboard,GetImage,return-type,"public static (int Width, int Height, int Stride, byte[] Data)? GetImage()",public static System.Windows.Media.Imaging.BitmapSource? GetImage(),Return the Jalium BitmapSource equivalent (Jalium.UI.Media.Imaging.BitmapSource?) instead of a raw pixel tuple to match WPF.
1,System.Windows,Clipboard,GetText,return-type,public static string? GetText(),public static string GetText(),Return non-nullable string (return string.Empty when the clipboard has no text) to match WPF's GetText contract.
1,System.Windows,Clipboard,SetDataObject,default-value,"public static void SetDataObject(object data, bool copy = true)","public static void SetDataObject(object data, bool copy)","WPF exposes two distinct overloads - SetDataObject(object data) and SetDataObject(object data, bool copy) with NO default. Remove the copy=true default and add a separate single-argument SetDataObject(object data) overload to reproduce WPF's overload set (a defaulted parameter is not reflection-equivalent to the two-overload shape)."
1,System.Windows,Clipboard,SetFileDropList,param-type,public static bool SetFileDropList(string[] files),public static void SetFileDropList(System.Collections.Specialized.StringCollection fileDropList),Change the parameter type from string[] to System.Collections.Specialized.StringCollection and the return type from bool to void to match WPF.
1,System.Windows,Clipboard,SetText,return-type,public static bool SetText(string? text),public static void SetText(string text),Return void (WPF's SetText returns void) and take a non-nullable string parameter.
1,System.Windows,ComponentResourceKey,"ComponentResourceKey(Type, object)",param-type,"public ComponentResourceKey(Type typeInTargetAssembly, string resourceId)","public ComponentResourceKey(System.Type typeInTargetAssembly, object resourceId)",Widen resourceId parameter to object.
1,System.Windows,ComponentResourceKey,ResourceId,return-type,public string ResourceId { get; },public object ResourceId { get; set; },Type ResourceId as object and add a setter.
1,System.Windows,ComponentResourceKey,TypeInTargetAssembly,accessibility,public Type TypeInTargetAssembly { get; },public System.Type TypeInTargetAssembly { get; set; },Add a setter (WPF property is get/set).
1,System.Windows,ComponentResourceKey,ComponentResourceKey,kind-mismatch,public sealed class ComponentResourceKey  (no base),public partial class ComponentResourceKey : System.Windows.ResourceKey,Derive from ResourceKey which supplies the Assembly override.
1,System.Windows,CornerRadius,TopLeft,accessibility,public double TopLeft { get; },public double TopLeft { get; set; },WPF CornerRadius is a mutable struct; add setter.
1,System.Windows,CornerRadius,TopRight,accessibility,public double TopRight { get; },public double TopRight { get; set; },Add setter.
1,System.Windows,CornerRadius,BottomRight,accessibility,public double BottomRight { get; },public double BottomRight { get; set; },Add setter.
1,System.Windows,CornerRadius,BottomLeft,accessibility,public double BottomLeft { get; },public double BottomLeft { get; set; },Add setter.
1,System.Windows,CornerRadiusConverter,CornerRadiusConverter,kind-mismatch,public sealed class CornerRadiusConverter : Jalium.UI.Markup.TypeConverter,public partial class CornerRadiusConverter : System.ComponentModel.TypeConverter,Jalium uses a bespoke minimal TypeConverter base; none of the ITypeDescriptorContext/CultureInfo WPF overloads exist.
1,System.Windows,DataTemplate,DataTemplate(object),param-type,public DataTemplate(Type dataType),public DataTemplate(object dataType),Accept object dataType (WPF allows a type or a data-type key).
1,System.Windows,DataTemplate,DataType,return-type,public Type? DataType { get; set; },public object DataType { get; set; },Type DataType as object.
1,System.Windows,DataTemplate,Triggers,return-type,public IList<TriggerBase> Triggers { get; },public System.Windows.TriggerCollection Triggers { get; },Expose a TriggerCollection.
1,System.Windows,DataTemplate,DataTemplate,kind-mismatch,public class DataTemplate  (no base),public partial class DataTemplate : System.Windows.FrameworkTemplate,Derive from FrameworkTemplate.
1,System.Windows,DataTemplateKey,DataTemplateKey(object),param-type,public DataTemplateKey(Type dataType),public DataTemplateKey(object dataType),Accept object dataType.
1,System.Windows,DataTemplateKey,DataTemplateKey,kind-mismatch,public sealed class DataTemplateKey : IEquatable<DataTemplateKey>,public partial class DataTemplateKey : System.Windows.TemplateKey,Derive from TemplateKey rather than re-implementing IEquatable.
1,System.Windows,DataTrigger,Binding,return-type,public Binding? Binding { get; set; },public System.Windows.Data.BindingBase Binding { get; set; },Type Binding as BindingBase to allow MultiBinding/PriorityBinding.
1,System.Windows,DataTrigger,Setters,return-type,public IList<Setter> Setters { get; }  (inherited from Jalium TriggerBase),public System.Windows.SetterBaseCollection Setters { get; },Expose a SetterBaseCollection.
1,System.Windows,DpiChangedEventArgs,DpiChangedEventArgs,kind-mismatch,public sealed class DpiChangedEventArgs : System.EventArgs,public sealed class DpiChangedEventArgs : System.Windows.RoutedEventArgs,"Re-base on RoutedEventArgs (not System.EventArgs) so it carries the routed-event surface (RoutedEvent, Source, OriginalSource, Handled) and can be raised via RaiseEvent."
1,System.Windows,DragDropEffects,All,default-value,All = Copy | Move | Link | Scroll  (= 0x80000007 = -2147483641),All = -2147483645,WPF's All = 0x80000003 (Scroll | Copy | Move) and intentionally EXCLUDES Link. Redefine Jalium as `All = Copy | Move | Scroll` so the value equals -2147483645.
1,System.Windows,DragEventArgs,InvokeEventHandler,accessibility,"internal override void InvokeEventHandler(Delegate handler, object target)","protected override void InvokeEventHandler(System.Delegate genericHandler, object genericTarget)",Change Jalium override from 'internal' to 'protected' to match WPF's protected surface.
1,System.Windows,EventSetter,EventSetter,kind-mismatch,public sealed class EventSetter  (no base),public partial class EventSetter : System.Windows.SetterBase,Derive from SetterBase for full parity with Style.Setters collections.
1,System.Windows,EventTrigger,Actions,return-type,public IList<TriggerAction> Actions { get; },public System.Windows.TriggerActionCollection Actions { get; },Expose a TriggerActionCollection.
1,System.Windows,FigureLength,FigureLength(double),default-value,"public FigureLength(double value) : this(value, FigureUnitType.Auto)",public FigureLength(double pixels)  // creates FigureUnitType.Pixel,"Single-argument ctor should default the unit type to Pixel (WPF semantics), not Auto."
1,System.Windows,FrameworkElement,MoveFocus,param-type,public bool MoveFocus(FocusNavigationDirection direction) [on UIElement],public sealed override bool MoveFocus(System.Windows.Input.TraversalRequest request),"WPF takes a TraversalRequest object, not a bare direction enum; add TraversalRequest and a MoveFocus(TraversalRequest) overload."
1,System.Windows,FrameworkElement,RegisterName,param-type,"public void RegisterName(string name, FrameworkElement element)","public void RegisterName(string name, object scopedElement)",Widen 2nd parameter from FrameworkElement to object (INameScope registration accepts any object).
1,System.Windows,FrameworkElement,GetBindingExpression,return-type,public BindingExpressionBase? GetBindingExpression(DependencyProperty dp) [on DependencyObject],public System.Windows.Data.BindingExpression GetBindingExpression(System.Windows.DependencyProperty dp),"WPF returns the concrete BindingExpression, not BindingExpressionBase."
1,System.Windows,FrameworkElement,TemplatedParent,return-type,public FrameworkElement? TemplatedParent { get; },public System.Windows.DependencyObject TemplatedParent { get; },Widen return type from FrameworkElement to DependencyObject.
1,System.Windows,FrameworkElement,ContextMenu,return-type,public object? ContextMenu { get; set; },public System.Windows.Controls.ContextMenu ContextMenu { get; set; },Typed as object because ContextMenu lives in Controls and FrameworkElement is in Core; intentional but breaks strong-typed parity.
1,System.Windows,FrameworkElement,ArrangeCore,return-type,protected override Size ArrangeCore(Rect finalRect),protected sealed override void ArrangeCore(System.Windows.Rect finalRect),WPF ArrangeCore returns void and is sealed; Jalium returns Size and is overridable (layout-engine divergence).
1,System.Windows,FrameworkElement,OnVisualParentChanged,param-type,protected override void OnVisualParentChanged(Visual? oldParent),protected internal override void OnVisualParentChanged(System.Windows.DependencyObject oldParent),WPF parameter is DependencyObject and method is protected internal; Jalium uses Visual? and protected.
1,System.Windows,FrameworkElement,GetLayoutClip,param-count,"internal virtual Geometry? GetLayoutClip() [on UIElement, no param]",protected override System.Windows.Media.Geometry GetLayoutClip(System.Windows.Size layoutSlotSize),WPF passes layoutSlotSize and the method is protected; Jalium's is parameterless and internal.
